lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
8116519,Bumble Bee,-,-,21,193,True,4722859,193,11688,Springwardens,-,4722859,1246782,824945,1768512,882620,226,918750,-,287,2873,2,174162761,165867404,119642127,40951470,474,-,-,19521,-,-,-,-,-,0,618,1135,7234,1918
14751093,死ᴶᶦᵇʳᶦˡ死,197158,~ID~,21,193,True,4721435,193,566650,League of Order,-,4721435,1046014,643222,1911599,1120600,68769,1566949,-,225,1723,9,488510381,401752185,340820697,13050070,197,493648345,181,5054,465753346,426015334,321637129,30129984,21930,0,37165,131753,79336,318396
11893915,ᵀᴷ killogramm,197095,-IA-,21,193,True,4415764,193,39319,Springwardens,-,4415764,768469,506514,1526281,1614500,9658,211600,6,22,1016,-,2241670819,128318519,81435958,10130807,-,1851397446,676,7981,1751177817,412677216,230845468,27520821,250,0,10520,0,0,27101
9385017,Birazdeli farm,-,-,20,193,True,4193620,193,158238,Wilderburg,-,4193620,1241500,932289,1286631,733200,23384,1266574,2,225,1556,2,81995857,64938646,68612688,17738021,-,130062664,251,4753,-,-,-,-,-,136,22897,33120,86704,10381
8115306,Mccong,-,-,21,193,True,4053989,193,84687,Wilderburg,-,5547072,-,611883,2092736,1349370,145911,2327109,-,525,3839,1,124249373,122134021,36593474,6893110,4,-,-,1837,58125,203136,-,-,-,10969,45214,2346,21640,4518
12439931,Zebulah Mini Farm,197095,-IA-,21,193,True,3997510,193,53718,Wilderburg,159,3997510,1173883,456681,1587966,778980,221835,2643207,-,143,147,-,1001014541,740487058,658558052,9498560,-,368603534,164,4113,1064058292,905921919,689464680,52275676,29998,13402,4496,33467,2214,139
20556934,CozzMoThe3rd,201096,~IG~,21,193,True,3987222,193,-,League of Order,-,3987222,1002028,522033,1425111,1038050,-,109518,-,25,645,-,140540105,149891672,105891967,34295231,-,1000000,2,1786,257932864,281138200,141378250,40724250,28153,0,0,0,0,0
8093632,Safira8390,332840,vlr,20,193,True,3891795,193,104177,Springwardens,-,3921865,1032560,523543,1272142,1063550,113566,1290142,20,62,669,1,6587930,14334017,31274014,15612708,212,210000,3,5063,35073809,35376893,22607190,5783827,-,7449,24722,2636,21429,28219
11450529,死ᴷᵘʳᵘᵐᶦ死,197158,~ID~,21,193,True,3801336,193,55451,League of Order,-,3801336,675647,522958,1885801,716930,62129,515826,-,50,818,9,462732459,380881399,297174714,10798803,60,264811469,107,6644,308842205,293634432,191454178,28144950,19120,0,33148,145,898,21260
18284124,Cobra Farming,197095,-IA-,19,193,True,3613627,193,292,League of Order,159,3613627,707032,844405,1194170,868020,-,282094,-,40,119,-,333685889,126359939,330185885,30558650,-,344478351,227,3446,383368368,170529060,314466846,49846100,14460,0,0,0,0,0
4664103,MiniメJarvis,197095,-IA-,20,193,True,3243421,193,61725,Wilderburg,-,3243421,1230055,258923,1128543,625900,19019,66222,13,46,739,-,145392231,146817165,99097523,26197534,30,-,-,2321,138328400,145436500,95116050,24743250,2850,0,5299,602,5582,33471
14729236,Eidolon Ire,197095,-IA-,19,193,True,3240579,193,2638,League of Order,-,3240579,677446,367425,1190798,1004910,32625,560525,-,112,968,-,112492604,87093892,53599231,6445801,1044,-,-,3376,213076768,209406999,87832448,24340822,37590,2609,29,0,0,0
16107854,Rasska 7,197095,-IA-,19,193,True,3219854,193,6542,League of Order,-,3219854,732912,352380,657852,1476710,14724,157679,-,78,868,-,97711838,68573236,31442525,8388374,20,52581260,134,1048,198511288,189380905,92835330,27152400,51120,0,0,0,0,0
17760249,200gramm,197095,-IA-,21,193,True,3197080,193,237,League of Order,-,3197080,499650,591436,1377494,728500,-,27333,-,3,-,-,-,9899360,1811777411,-,-,1510893218,794,2711,391243634,439850225,1502308950,46191250,1068,0,0,0,0,0
7926823,ᶜᵒᵐᵐᵃⁿᵈᵉʳChopper,197095,-IA-,21,193,True,3081159,193,13747,Wilderburg,-,3081159,485426,260291,1576042,759400,3806,145282,-,62,203,5,141076566,146283506,136329851,2270678,-,253616150,111,1455,269595609,292369096,206850889,17467600,1590,0,24,529,10877,2179
8090246,Wiwerling,-,-,19,0,True,3020869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8100905,songulli farm,197095,-IA-,20,193,True,2978445,193,3923,Wilderburg,153,2978445,656677,360339,1174689,774740,1576,179076,-,40,380,1,60137740,56068825,46534349,24597374,-,27126269,58,1381,155372370,154756321,96279905,25758830,13638,0,652,0,2217,1054
19373684,Drezdan,197095,-IA-,18,193,True,2960098,193,-,Springwardens,-,2960098,782292,453090,1007416,717300,-,8060,-,-,46,-,349976439,326258430,172249603,5460000,-,633791447,377,1858,473044593,470354343,258302626,35068050,10549,0,0,0,0,0
9992206,ᴹᴵᴺᴵ Arslan ᴵᴵ,197158,~ID~,20,193,True,2927391,193,6408,Wilderburg,649,2927391,324215,492563,1372863,737750,1880,723737,11,99,146,4,327308357,274042421,263003500,-,-,1000400,1,5834,183439835,176835835,102082625,55730150,22310,687,425,8,0,5283
17561249,miniKaH,197158,~ID~,21,193,True,2854912,193,24075,League of Order,1670,2854912,424135,348213,1387834,694730,-,553106,-,119,625,-,60671196,50066100,43962894,7014000,-,-,-,622,199227616,194526476,111303884,28317550,27059,1649,22426,0,0,0
19740207,MadamD,201096,~IG~,18,193,True,2776328,193,-,Springwardens,-,2776328,705294,315475,777939,943620,-,144429,-,89,1003,-,95872976,85489040,138925257,6352809,-,230727830,149,1213,209719580,218313964,179746102,20863750,22937,0,0,0,0,0
16106279,Rasska 10,197095,-IA-,19,193,True,2758229,193,-,Springwardens,-,2758229,569944,214509,641576,1315200,-,96093,-,87,770,-,70227266,57502213,23568718,8523297,20,39762239,121,932,146457275,134820170,67354149,17375097,42522,0,0,0,0,0
9993622,ᴹᴵᴺᴵ Arslan ᴼ,201096,~IG~,20,193,True,2752377,193,4646,Wilderburg,448,2752377,321115,488192,1268920,674150,11783,811286,19,148,82,2,308198858,272067154,209897963,193389,-,-,-,5131,170240697,165907140,101411630,48683650,16920,938,620,79,0,3001
5563648,ⁿᵃˢRairondᵍᵒˡᵈ,201096,~IG~,18,193,True,2707975,193,31305,League of Order,-,2707975,645018,337325,684762,1040870,33561,375853,-,60,564,8,99023199,11537262,8044017,2367280,140,132782,1,2470,77572288,80697629,37538226,17100780,32250,0,8399,16869,5702,335
8257962,Warashi farm,-,-,21,193,True,2671079,193,47641,League of Order,-,3213171,-,412757,1795172,463150,98907,828608,-,123,41,1,318285414,293952865,212225963,12617334,-,201929366,125,2735,129006939,127698872,85487223,20134500,-,3912,4917,37079,1570,163
17083503,Yaakoub III,201096,~IG~,21,193,True,2599513,193,917,League of Order,-,2599513,320366,386729,1351418,541000,-,98231,-,3,95,-,168428596,148543406,530758648,4536000,-,781845192,391,2680,423995631,452914771,543405712,25259750,44952,0,0,0,0,0
4007599,Clayyy,197095,-IA-,17,193,True,2595254,193,251734,Springwardens,-,2595254,620868,321996,751370,901020,67424,668252,19,164,555,41,9311631,9654353,148548283,3339674,-,-,-,6287,56905800,55949900,28523000,9145000,2160,0,3979,60201,81913,77042
8098133,Řïčäřđø157,296046,M~~d,18,193,True,2489593,193,231177,League of Order,-,2489593,684748,224831,705720,874294,3131,987783,8,143,1501,6,56467308,58375898,33422675,5428971,19,-,-,5374,19079350,18614850,14864200,4288350,5000,0,21971,61651,63933,83622
12858150,xDub Farm,201096,~IG~,18,193,True,2486153,193,27612,League of Order,-,2486153,302747,318529,1353287,511590,208968,1936574,-,67,44,2,39496797,28376949,64756085,5990139,240,60230780,55,2090,166456905,168375882,129044751,19742612,29805,1009,26603,0,0,0
